id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kunjungan,persentase_kunjungan,satuan,tahun
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1 KALI (KN 1),110.9,PERSEN,2021
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3 KALI (KN LENGKAP),110.1,PERSEN,2021
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1 KALI (KN 1),103.5,PERSEN,2021
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3 KALI (KN LENGKAP),98.4,PERSEN,2021
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,1 KALI (KN 1),105.1,PERSEN,2021
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,3 KALI (KN LENGKAP),103.8,PERSEN,2021
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1 KALI (KN 1),94.2,PERSEN,2021
142,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3 KALI (KN LENGKAP),92.1,PERSEN,2021
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1 KALI (KN 1),112.9,PERSEN,2021
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3 KALI (KN LENGKAP),112.3,PERSEN,2021
145,32,JAWA BARAT,3271,KOTA BOGOR,1 KALI (KN 1),99.6,PERSEN,2021
146,32,JAWA BARAT,3271,KOTA BOGOR,3 KALI (KN LENGKAP),99.1,PERSEN,2021
147,32,JAWA BARAT,3272,KOTA SUKABUMI,1 KALI (KN 1),99.8,PERSEN,2021
148,32,JAWA BARAT,3272,KOTA SUKABUMI,3 KALI (KN LENGKAP),98.0,PERSEN,2021
149,32,JAWA BARAT,3273,KOTA BANDUNG,1 KALI (KN 1),0.0,PERSEN,2021
150,32,JAWA BARAT,3273,KOTA BANDUNG,3 KALI (KN LENGKAP),88.4,PERSEN,2021
151,32,JAWA BARAT,3274,KOTA CIREBON,1 KALI (KN 1),102.3,PERSEN,2021
152,32,JAWA BARAT,3274,KOTA CIREBON,3 KALI (KN LENGKAP),96.5,PERSEN,2021
153,32,JAWA BARAT,3275,KOTA BEKASI,1 KALI (KN 1),99.9,PERSEN,2021
154,32,JAWA BARAT,3275,KOTA BEKASI,3 KALI (KN LENGKAP),93.5,PERSEN,2021
155,32,JAWA BARAT,3276,KOTA DEPOK,1 KALI (KN 1),103.0,PERSEN,2021
156,32,JAWA BARAT,3276,KOTA DEPOK,3 KALI (KN LENGKAP),100.8,PERSEN,2021
157,32,JAWA BARAT,3277,KOTA CIMAHI,1 KALI (KN 1),97.9,PERSEN,2021
158,32,JAWA BARAT,3277,KOTA CIMAHI,3 KALI (KN LENGKAP),94.0,PERSEN,2021
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1 KALI (KN 1),97.5,PERSEN,2021
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3 KALI (KN LENGKAP),98.7,PERSEN,2021
161,32,JAWA BARAT,3279,KOTA BANJAR,1 KALI (KN 1),99.8,PERSEN,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,3 KALI (KN LENGKAP),97.9,PERSEN,2021
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,1 KALI (KN 1),99.2,PERSEN,2022
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,3 KALI (KN LENGKAP),97.0,PERSEN,2022
165,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1 KALI (KN 1),105.0,PERSEN,2022
166,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3 KALI (KN LENGKAP),103.1,PERSEN,2022
167,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1 KALI (KN 1),99.3,PERSEN,2022
168,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3 KALI (KN LENGKAP),98.0,PERSEN,2022
169,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1 KALI (KN 1),100.3,PERSEN,2022
170,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3 KALI (KN LENGKAP),99.5,PERSEN,2022
171,32,JAWA BARAT,3205,KABUPATEN GARUT,1 KALI (KN 1),100.0,PERSEN,2022
172,32,JAWA BARAT,3205,KABUPATEN GARUT,3 KALI (KN LENGKAP),98.6,PERSEN,2022
173,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1 KALI (KN 1),99.9,PERSEN,2022
174,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3 KALI (KN LENGKAP),99.4,PERSEN,2022
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1 KALI (KN 1),99.6,PERSEN,2022
176,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3 KALI (KN LENGKAP),103.2,PERSEN,2022
177,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1 KALI (KN 1),99.7,PERSEN,2022
178,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3 KALI (KN LENGKAP),98.6,PERSEN,2022
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,1 KALI (KN 1),99.9,PERSEN,2022
180,32,JAWA BARAT,3209,KABUPATEN CIREBON,3 KALI (KN LENGKAP),99.7,PERSEN,2022
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1 KALI (KN 1),100.1,PERSEN,2022
182,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3 KALI (KN LENGKAP),99.8,PERSEN,2022
183,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1 KALI (KN 1),98.7,PERSEN,2022
184,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3 KALI (KN LENGKAP),98.0,PERSEN,2022
185,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1 KALI (KN 1),99.4,PERSEN,2022
186,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3 KALI (KN LENGKAP),99.0,PERSEN,2022
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,1 KALI (KN 1),109.2,PERSEN,2022
188,32,JAWA BARAT,3213,KABUPATEN SUBANG,3 KALI (KN LENGKAP),107.5,PERSEN,2022
189,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1 KALI (KN 1),99.9,PERSEN,2022
190,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3 KALI (KN LENGKAP),98.8,PERSEN,2022
191,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1 KALI (KN 1),99.4,PERSEN,2022
192,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3 KALI (KN LENGKAP),99.1,PERSEN,2022
193,32,JAWA BARAT,3216,KABUPATEN BEKASI,1 KALI (KN 1),100.0,PERSEN,2022
194,32,JAWA BARAT,3216,KABUPATEN BEKASI,3 KALI (KN LENGKAP),100.0,PERSEN,2022
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1 KALI (KN 1),50.0,PERSEN,2022
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3 KALI (KN LENGKAP),49.2,PERSEN,2022
197,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1 KALI (KN 1),100.0,PERSEN,2022
198,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3 KALI (KN LENGKAP),99.3,PERSEN,2022
199,32,JAWA BARAT,3271,KOTA BOGOR,1 KALI (KN 1),99.4,PERSEN,2022
200,32,JAWA BARAT,3271,KOTA BOGOR,3 KALI (KN LENGKAP),99.0,PERSEN,2022
201,32,JAWA BARAT,3272,KOTA SUKABUMI,1 KALI (KN 1),104.4,PERSEN,2022
202,32,JAWA BARAT,3272,KOTA SUKABUMI,3 KALI (KN LENGKAP),102.4,PERSEN,2022
203,32,JAWA BARAT,3273,KOTA BANDUNG,1 KALI (KN 1),99.3,PERSEN,2022
204,32,JAWA BARAT,3273,KOTA BANDUNG,3 KALI (KN LENGKAP),97.2,PERSEN,2022
205,32,JAWA BARAT,3274,KOTA CIREBON,1 KALI (KN 1),102.4,PERSEN,2022
206,32,JAWA BARAT,3274,KOTA CIREBON,3 KALI (KN LENGKAP),100.5,PERSEN,2022
207,32,JAWA BARAT,3275,KOTA BEKASI,1 KALI (KN 1),100.2,PERSEN,2022
208,32,JAWA BARAT,3275,KOTA BEKASI,3 KALI (KN LENGKAP),95.8,PERSEN,2022
209,32,JAWA BARAT,3276,KOTA DEPOK,1 KALI (KN 1),103.8,PERSEN,2022
210,32,JAWA BARAT,3276,KOTA DEPOK,3 KALI (KN LENGKAP),100.0,PERSEN,2022
211,32,JAWA BARAT,3277,KOTA CIMAHI,1 KALI (KN 1),99.2,PERSEN,2022
212,32,JAWA BARAT,3277,KOTA CIMAHI,3 KALI (KN LENGKAP),95.2,PERSEN,2022
213,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1 KALI (KN 1),98.8,PERSEN,2022
214,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3 KALI (KN LENGKAP),98.8,PERSEN,2022
215,32,JAWA BARAT,3279,KOTA BANJAR,1 KALI (KN 1),40.4,PERSEN,2022
216,32,JAWA BARAT,3279,KOTA BANJAR,3 KALI (KN LENGKAP),40.1,PERSEN,2022
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,1 KALI (KN 1),100.4,PERSEN,2023
218,32,JAWA BARAT,3201,KABUPATEN BOGOR,3 KALI (KN LENGKAP),98.3,PERSEN,2023
219,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1 KALI (KN 1),100.6,PERSEN,2023
220,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3 KALI (KN LENGKAP),98.0,PERSEN,2023
221,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1 KALI (KN 1),99.6,PERSEN,2023
222,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3 KALI (KN LENGKAP),97.7,PERSEN,2023
223,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1 KALI (KN 1),99.8,PERSEN,2023
224,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3 KALI (KN LENGKAP),99.4,PERSEN,2023
225,32,JAWA BARAT,3205,KABUPATEN GARUT,1 KALI (KN 1),100.8,PERSEN,2023
226,32,JAWA BARAT,3205,KABUPATEN GARUT,3 KALI (KN LENGKAP),99.9,PERSEN,2023
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1 KALI (KN 1),96.8,PERSEN,2023
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3 KALI (KN LENGKAP),98.7,PERSEN,2023
229,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1 KALI (KN 1),99.6,PERSEN,2023
230,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3 KALI (KN LENGKAP),99.2,PERSEN,2023
231,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1 KALI (KN 1),99.6,PERSEN,2023
232,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3 KALI (KN LENGKAP),97.9,PERSEN,2023
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,1 KALI (KN 1),100.0,PERSEN,2023
234,32,JAWA BARAT,3209,KABUPATEN CIREBON,3 KALI (KN LENGKAP),99.8,PERSEN,2023
235,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1 KALI (KN 1),99.9,PERSEN,2023
236,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3 KALI (KN LENGKAP),99.4,PERSEN,2023
237,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1 KALI (KN 1),98.2,PERSEN,2023
238,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3 KALI (KN LENGKAP),97.6,PERSEN,2023
239,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1 KALI (KN 1),103.3,PERSEN,2023
240,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3 KALI (KN LENGKAP),103.1,PERSEN,2023
241,32,JAWA BARAT,3213,KABUPATEN SUBANG,1 KALI (KN 1),98.3,PERSEN,2023
242,32,JAWA BARAT,3213,KABUPATEN SUBANG,3 KALI (KN LENGKAP),96.8,PERSEN,2023
243,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1 KALI (KN 1),99.9,PERSEN,2023
244,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3 KALI (KN LENGKAP),99.1,PERSEN,2023
245,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1 KALI (KN 1),99.4,PERSEN,2023
246,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3 KALI (KN LENGKAP),98.9,PERSEN,2023
247,32,JAWA BARAT,3216,KABUPATEN BEKASI,1 KALI (KN 1),100.0,PERSEN,2023
248,32,JAWA BARAT,3216,KABUPATEN BEKASI,3 KALI (KN LENGKAP),100.0,PERSEN,2023
249,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1 KALI (KN 1),96.2,PERSEN,2023
250,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3 KALI (KN LENGKAP),94.9,PERSEN,2023
251,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1 KALI (KN 1),100.0,PERSEN,2023
252,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3 KALI (KN LENGKAP),99.5,PERSEN,2023
253,32,JAWA BARAT,3271,KOTA BOGOR,1 KALI (KN 1),99.9,PERSEN,2023
254,32,JAWA BARAT,3271,KOTA BOGOR,3 KALI (KN LENGKAP),99.7,PERSEN,2023
255,32,JAWA BARAT,3272,KOTA SUKABUMI,1 KALI (KN 1),99.9,PERSEN,2023
256,32,JAWA BARAT,3272,KOTA SUKABUMI,3 KALI (KN LENGKAP),99.4,PERSEN,2023
257,32,JAWA BARAT,3273,KOTA BANDUNG,1 KALI (KN 1),100.3,PERSEN,2023
258,32,JAWA BARAT,3273,KOTA BANDUNG,3 KALI (KN LENGKAP),98.2,PERSEN,2023
259,32,JAWA BARAT,3274,KOTA CIREBON,1 KALI (KN 1),99.9,PERSEN,2023
260,32,JAWA BARAT,3274,KOTA CIREBON,3 KALI (KN LENGKAP),98.2,PERSEN,2023
261,32,JAWA BARAT,3275,KOTA BEKASI,1 KALI (KN 1),94.5,PERSEN,2023
262,32,JAWA BARAT,3275,KOTA BEKASI,3 KALI (KN LENGKAP),92.8,PERSEN,2023
263,32,JAWA BARAT,3276,KOTA DEPOK,1 KALI (KN 1),103.9,PERSEN,2023
264,32,JAWA BARAT,3276,KOTA DEPOK,3 KALI (KN LENGKAP),100.0,PERSEN,2023
265,32,JAWA BARAT,3277,KOTA CIMAHI,1 KALI (KN 1),99.3,PERSEN,2023
266,32,JAWA BARAT,3277,KOTA CIMAHI,3 KALI (KN LENGKAP),96.8,PERSEN,2023
267,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1 KALI (KN 1),99.4,PERSEN,2023
268,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3 KALI (KN LENGKAP),98.6,PERSEN,2023
269,32,JAWA BARAT,3279,KOTA BANJAR,1 KALI (KN 1),99.9,PERSEN,2023
270,32,JAWA BARAT,3279,KOTA BANJAR,3 KALI (KN LENGKAP),97.9,PERSEN,2023
